"","ID","YEARSEMESTRE","YEAR","SEMESTRE","DEP_NAC","COD_DEP_NAC","CIU_NAC","COD_CIU_NAC","LON_CIU_NAC","LAT_CIU_NAC","DEP_RES","COD_DEP_RES","CIU_RES","COD_CIU_RES","LON_CIU_RES","LAT_CIU_RES","CODS_NAC","CODN_NAC","NACIONALIDAD","EDAD_MOD","CAT_EDAD","SEXO","ESTRATO_ORIG","ESTRATO","DISCAPACIDAD","TIPO_DISC","MOD_INS","TIPO_INS","PAES","PEAMA","PAET","SNIES_SEDE","INS_SEDE_NOMBRE","PTOTAL","ADMITIDO","ADM_SEDE_NOMBRE","ADM_ANDINA_PEAMA","FACULTAD","FACULTAD_S","SNIES_PROGRA","PROGRAMA","PROGRAMA_S","AREAC_SNIES","CA_CINE","CD_CINE","AREA_CINE","TIPO_NIVEL","NIVEL","SNIES_UNIVERSIDAD","NOMBRE_UNIVERSIDAD","TITULOUNIVERSITARIO","MODALIDAD","ANNO_TERMINACION","RANGO_ANO_TERMINACION","TIPO_DOC","NOMBRE","COD_PADRE","PROGRAMA_2","ESTADO"
"1360","21681",20101,2010,1,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,NA,NA,"Sin información",17.09,"17 años o menos","Hombres","Estrato 3","Estrato 3","No","No Aplica","Regular","Regular",NA,NA,NA,NA,"Universidad",505.14,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1361","14085",20092,2009,2,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,NA,NA,"Sin información",17.175,"17 años o menos","Hombres","Estrato 1","Estrato 2 o menos","No","No Aplica","Regular","Regular",NA,NA,NA,NA,"Universidad",349.38,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1362","19052",20102,2010,2,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,NA,NA,"Sin información",17.44,"17 años o menos","Hombres","Estrato 3","Estrato 3","No","No aplica","Regular","Regular",NA,NA,NA,NA,"Universidad",604.3495,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1363","4274",20172,2017,2,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"AMAZONAS",91,"LETICIA",91001,-69.9406798289,-4.21202316969,"COL",170,"Colombiana",17.77,"17 años o menos","Mujeres","Estrato 2","Estrato 2 o menos","No","No Aplica","Especial","PEAMA",NA,"PEAMA - Amazonía",NA,1125,"Amazonía",365.71,"No",NA,NA,"Dirección de sede",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1364","29711",20162,2016,2,"CUNDINAMARCA",25,"MADRID",25430,-74.2667554524,4.73284520314,"CUNDINAMARCA",25,"MADRID",25430,-74.2667554524,NA,"COL",170,"Colombiana",17.2,"17 años o menos","Mujeres","Estrato 2","Estrato 2 o menos","No","No Aplica","Regular","Regular",NA,NA,NA,1101,"Bogotá",517.0494,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1365","10792",20192,2019,2,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",18,"18 a 20 años","Hombres","Estrato 2","Estrato 2 o menos","No",NA,"Regular","Regular",NA,NA,NA,1101,"Bogotá",403.531,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1366","1313",20131,2013,1,"ANTIOQUIA",5,"CAUCASIA",5154,-75.1985143435,7.97776036994,"ANTIOQUIA",5,"CAUCASIA",5154,-75.1985143435,7.97776036994,"COL",170,"Colombiana",17.39,"17 años o menos","Mujeres","Estrato 1","Estrato 2 o menos","No","No aplica","Especial","PAES","Mejores bachilleres de municipios pobres",NA,NA,NA,"Universidad",425.71,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1367","6399",20122,2012,2,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",19.9916666666667,"18 a 20 años","Mujeres","Estrato 2","Estrato 2 o menos","No","No aplica","Regular","Regular",NA,NA,NA,NA,"Universidad",485.0537,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1368","7035",20161,2016,1,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"ANTIOQUIA",5,"MEDELLÍN",5001,-75.5770556256,6.24894080956,"COL",170,"Colombiana",23,"25 años o menos","Mujeres","Estrato 5","Estrato 4 o más","No",NA,"Regular","Regular",NA,NA,NA,1102,"Medellín",3.58,"Sí","Medellín",NA,"Ciencias","Ciencias - Medellín",19861,"Ciencias - Biotecnología","Ciencias - Biotecnología - Medellín","Matemáticas y ciencias naturales",5,51,"Ciencias naturales, matemáticas y estadística","Postgrado","Maestría","2813","UNIVERSIDAD EIA","Ingeniería Biomedica / Presencial","Presencial",2015,"Recien graduado",NA,NA,19861,"Ciencias - Biotecnología - Maestría","Activo"
"1369","18983",20182,2018,2,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",17,"17 años o menos","Hombres","Estrato 4","Estrato 4 o más","No",NA,"Regular","Regular",NA,NA,NA,1101,"Bogotá",428.6859,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
